,Date,IPC,Title,Claims,Abstract,Ticker,PatentNumber
21,2023-10-17,e04b001/80,servicing assembly for an insulated structure,15,an insulated structure comprises a first panel and a second panel coupled to the first panel. the first and second panels define an insulating cavity therebetween. a port is defined by the second panel. the port is an opening into the insulating cavity. a connector is coupled to the second panel. a tube is coupled to the connector and extends parallel along the second panel.,WHR,11788280
22,2023-10-17,d06f039/08,water recirculation insert for laundry appliance,19,"a laundry appliance including an appliance housing, a drum housing positioned in the appliance housing, and a drum that is configured to rotate inside the drum housing. a laundry compartment inside the drum is accessible through openings in the front of the appliance housing, drum housing, and drum. a front appliance door is pivotally connected to a front ring of the drum housing. a water recirculation insert is mounted to the front ring of the drum housing. the water recirculation insert includes a nozzle portion that extends through the front ring to a nozzle opening that is located inside the drum housing and configured to dispense recirculated fluid directly into the laundry compartment.",WHR,11788226
23,2023-10-17,b32b005/16,super insulating nano-spheres for appliance insulation and method for creating a super insulating nano-sphere material,20,"an insulating structure for an appliance includes an outer layer and an inner layer, wherein an insulating cavity is defined therebetween. a plurality of hollow nano-spheres are disposed within the insulating cavity, wherein each of the hollow nano-spheres includes a diameter in the range of from approximately 50 nanometers to approximately 1000 nanometers and has a wall that defines the internal space, and wherein the wall of each hollow nano-sphere has a thickness that is in a range of from approximately 0.5 nanometers to approximately 100 nanometers. a fill material is disposed in the insulating cavity and wherein the fill material is disposed in the space defined between the plurality of hollow nano-spheres, and wherein the fill material includes at least one of powdered silica, granulated silica, other silica material, aerogel and insulating gas.",WHR,11787151
24,2023-10-17,e05d005/04,hinge support,20,"a hinge support includes a support plate that defines a first aperture and a second aperture. a pivot has an anchor arm that is disposed within the first aperture defined by the support plate. the pivot has a raised surface, a recessed surface, and a graduated surface that is defined between the raised surface and the recessed surface. a cap is disposed over and operably coupled to the pivot. the cap has a projecting surface, a receiving surface, and a sloped surface that is defined between the projecting surface and the receiving surface. an engagement plate defines an opening and is disposed around the cap. the cap and the engagement plate are configured to translate between a first position and a second position relative to the support plate.",WHR,11788332
25,2023-10-17,f24c003/12,knob mechanism for gas cooktop,20,"a knob assembly for a gas cooktop may include a knob configured to control a flow of gas from a burner of a cooktop starting at a resting position, the knob defining a hollow interior and having a support cylinder extending vertically through the hollow interior, wherein the support cylinder includes a projection flap protruding therefrom, an inner lock ring arranged at least partially within the hollow interior of the knob and having a chamfered region defining a ring opening adjacent an inclined portion, where the opening is configured to selectively receive the projection flap in response to depression of the knob and where the projection flap slides along the inclined portion in response to subsequent rotation of the knob, the inclined portion imparting frictional resistance on the projection flap to prevent against unintentional rotation of the knob.",WHR,11788730
26,2023-10-17,h05k001/18,human-machine interface assemblies,20,"example human-machine interface (hmi) assemblies are disclosed. one example hmi assembly includes a fascia, a touch film having a first raised contact, a pcb having a second raised contact, and a piercing member passing through the first and second contacts to electrically couple the first and second contacts.",WHR,11792935
27,2023-10-17,h05b006/76,microwave oven having generator power supply,8,"a microwave oven and a method of operating the same is provided herein. the method includes the steps of: sensing that a door of the microwave is in an open state; interrupting a power input to a generator power supply unit comprising a first converter, a first energy reserve, a second energy reserve located downstream from the first energy reserve, and a second converter located between the first and second energy reserves; detecting an input voltage; and disabling the second converter if the detected input voltage is less than a threshold voltage that is proportional to the detected input voltage, wherein disabling the second converter triggers the second energy reserve to discharge, and wherein the time necessary to discharge the second energy reserve is free of influence from the first energy reserve and is independent of the detected input voltage.",WHR,11792897
28,2023-10-17,g06f003/06,identified zones for optimal parity sharing zones,20,"storage devices are capable of identifying zones for sharing parity blocks across zones. active zones may be segregated across multiple active zones having similar zone properties, and grouped so that parity buffers can be shared. by identifying zones for optimal parity sharing, storage devices and systems can: (i) maintain independent parity for all zones during initial zone writes (i.e. during an erased state when data is written directly to pages and not to the zones), (ii) track zone write pointers and frequency of writes in the zones, (iii) segregate zones with higher correlation and group them together, (iv) utilize these groupings placed across various channels so that zones with high correlations, comprising of the zones that are written together and at the same rate, share the parity buffers, and (v) load and xor individual parity buffers for optimal parity sharing across all zones.",WDC,11789630
29,2023-10-17,g06f003/06,data storage device and method for file-based interrupt coalescing,20,"a data storage device and method for file-based interrupt coalescing are provided. in one embodiment, a data storage device is provided comprising a memory and a controller. the controller is configured to execute a plurality of read commands read from a submission queue in a host; write a plurality of completion messages to a completion queue in the host; and coalesce interrupts to inform the host that plurality of completion messages were written to the completion queue; wherein the submission queue and the completion queue are dedicated to read commands from a host application and are separate from a submission queue and a completion queue for read and write commands from an operating system of the host. other embodiments are possible, and each of the embodiments can be used alone or together in combination.",WDC,11789654
30,2023-10-17,g06f011/00,logical to physical mapping management using low-latency non-volatile memory,20,"disclosed are systems and methods for providing logical to physical (l2p) table management using low-latency nvm to reduce solid state drive (ssd) random access memory (ram) footprint. a method includes determining a logical to physical (l2p) mapping of a logical address to a physical address in a flash storage, for an operation directed to the logical address. the method also includes adding a data entry, comprising the l2p mapping, to an open journal structure in ram. the method also includes adding a log entry, comprising the l2p mapping, to a buffer in the ram. the method also includes flushing the buffer to a low-latency nvm storage in response to determining that the buffer has satisfied a size threshold. reads, snapshotting and l2p table recovery are also described.",WDC,11789860
31,2023-10-17,g11b020/18,data storage device with manipulated media mapping to control access latency of data containers,20,"various illustrative aspects are directed to a data storage device, comprising one or more disks; an actuator arm assembly comprising one or more heads, and configured to position the one or more heads proximate to disk surfaces of the one or more disks; and one or more processing devices. the one or more processing devices are configured to detect one or more physical defects on a recording medium; designate, in a mapping of the recording medium, the one or more physical defects for exclusion from being assigned to data containers, the data containers configured for assignment of a plurality of logic blocks to the data containers, the logic blocks configured to store the data to be written that are being interleaved across a plurality of sectors based on a distributed sector encoding scheme; and designate one or more artificial defects adjacent to the one or more physical defects for exclusion from being assigned to the data containers in the mapping.",WDC,11790948
32,2023-10-17,g11b020/18,data storage device integrating wedge repeatable runout (wrro) learning into data recovery procedure (drp),18,"a data storage device comprises a disk having a plurality of data tracks and a plurality of servo wedges wherein the plurality of servo wedges comprise a plurality of wedge repeatable runout (wrro) fields configured to store a plurality of wrro compensation values in connection with the plurality of data tracks. the data storage device may also include a read/write head configured to be actuated over the disk, and a controller configured to gather position error signal (pes) data needed for computation of the wrro compensation values during a field operation of the data storage device. the data storage device may be further configured to adjust a position of the read/write head based on the wrro compensation values.",WDC,11790949
33,2023-10-17,g11c011/34,non-volatile memory with reverse state program,20,a memory system separately programs memory cells connected by a common word line to multiple sets of data states with the set of data states having higher threshold voltage data states being programmed before the set of data states having lower threshold voltage data states. the memory system also separately programs memory cells connected by an adjacent word line to the multiple sets of data states such that memory cells connected by the adjacent word line are programmed to higher data states after memory cells connected by the common word line are programmed to higher data states and prior to memory cells connected by the common word line are programmed to lower data states.,WDC,11790994
34,2023-10-17,g06f003/06,storage system and method for dynamic allocation of secondary backup blocks,13,"a storage system receives data to be stored in its memory. a controller in the storage system allocates a primary block of the memory to store the data and determines the health of the allocated block. if the controller determines that the allocated block is not healthy enough to reliably store the data, the controller allocates a secondary block to redundantly store the data.",WDC,11789616
35,2023-10-17,g01n021/64,analyses of surface-mount-technology components using fluorescent-dye penetrants,20,"methods and apparatus for testing solder joints of a pcb assembly using fluorescent-dye penetrants. the use of a suitable fluorescent-dye penetrant may significantly improve the sensitivity of a dye and pry test to dye indications compared to a typical sensitivity achievable thereby with a conventional dye penetrant. some embodiments may use an automated fluorescence imaging system employing a translation stage to sequentially move individual solder-joint parts of a circuit under test into the field of view of a fluorescence microscope and a high-resolution digital camera to capture fluorescence images of the individual solder-joint parts. the movement of the translation stage and processing of the fluorescence images may be referenced to an electronic cad file of the circuit to enable high-precision automated scanning of the solder-joint parts in the fluorescence imaging system, automated quantification of the extent of cracks in individual solder joints, and automatic generation of examination reports.",WDC,11788964
36,2023-10-17,h04l029/06,digital credentials for visitor network access,23,"a system for credential authentication comprises an interface configured to receive a create indication to create a visitor network credential and receive a certify indication to certify an authentication device to use a network, and a processor configured to provide the visitor network credential to the authentication device in response to the certify indication, provide a proof request to the authentication device, receive a proof response, validate the proof response using a distributed ledger, generate a network certificate, and provide the network certificate to the authentication device.",WDAY,11792180
37,2023-10-17,h04l029/06,digital credentials as guest check-in for physical building access,17,"a system for credential authentication includes an interface and a processor. the interface is configured to receive a create indication to create a guest credential representing a guest badge associated with a visitor and receive a claim indication from an authentication device to claim the guest credential. the processor is configured to provide the guest credential to the authentication device in response to the claim indication, provide a proof request to the authentication device, receive a proof response from the authentication device, validate the proof response, determine a visitor tracking system associated with a request from the authentication device to authenticate entry, and provide a check-in indication to the visitor tracking system that the visitor has checked in.",WDAY,11792181
38,2023-10-17,c12n015/10,solvent reservoir configuration for steady flow and monitoring solvent level and density,14,disclosed herein are solvent reservoir systems for steady flow delivery and simultaneous monitoring of solvent level and solvent density within the solvent reservoir systems and methods for monitoring the solvent reservoir systems and providing feedback to a user or adjusting the systems in response to the monitored characteristics.,WAT,11786904
39,2023-10-17,h04b007/10,multi-beam active phased array architecture with independent polarization control,14,"in an exemplary embodiment, a phased array antenna comprises multiple subcircuits in communication with multiple radiating elements. the radio frequency signals are independently adjusted for both polarization control and beam steering. in a receive embodiment, multiple rf signals of various polarizations are received and combined into at least one receive beam output. in a transmit embodiment, at least one transmit beam input is divided and transmitted through multiple radiating elements, with the transmitted beams having various polarizations. in an exemplary embodiment, the phased array antenna provides multi-beam formation over multiple operating frequency bands. the wideband nature of the active components allows for operation over multiple frequency bands simultaneously.",VSAT,11791567
40,2023-10-17,a61k031/343,method of treatment,15,"one embodiment of the invention provides a method for administering tasimelteon to a human patient that comprises orally administering an effective dose of tasimelteon under fasted conditions. fasted conditions may comprise administering the tasimelteon without food, no food at least ½ hour prior to administration, no food at least 1 hour prior to administration, no food at least 1½ hours prior to administration, no food at least 2 hours prior to administration, no food at least 2½ hours prior to administration, or no food at least 3 hours prior to administration. according to such embodiments, tasimelteon may be administered, for example, at a dose of 20 mg/d. tasimelteon may be administered where, for example, the patient is being treated for a circadian rhythm disorder or for a sleep disorder, including, for example, non-24 disorder.",VNDA,11786502
41,2023-10-17,c07f009/6574,crystalline forms and methods of producing crystalline forms of a compound,25,"disclosed herein are methods of crystallizing the compound of formula i, as well as crystalline forms thereof. crystalline forms of formula i disclosed include the tbme solvate crystalline form, toluene solvate crystalline form, ethanol solvate crystalline form, thf solvate crystalline form, etoac solvate crystalline form, acetone solvate crystalline form and crystalline form c.",VKTX,11787828
42,2023-10-17,g06t007/246,object tracking and redaction,20,"disclosed are systems and methods to detect and track an object across frames of a video. one of the disclosed methods includes: detecting a first group of one or more objects, using a first neural network, in each frame of the video, wherein each detected head of the first group comprises a leading and a trailing edge; grouping the leading and trailing edges of the one or more objects into groups of leading edges and groups of trailing edges based at least on coordinates of the leading and trailing edges; generating a list of no-edge-detect frames by identifying frames of the video missing a group of leading edges or a group of trailing edges; analyzing the no-edge-detect frames in the list of no-edge-detect frames, using an optical image classification engine, to detect a second group of one or more objects in the no-edge-detect frames; and merging the first and second groups of one or more objects to form a merged list of detected objects in the video.",VERI,11790540
43,2023-10-17,g06f016/25,structured-data analysis and visualization,18,"methods and systems for accessing, maintaining, analyzing, and visualizing structured data are presented. the system receives from a requesting computing device, a first request for a first hierarchical record. the system searches a first repository having first structured data. the system determines whether the first hierarchical record is present in the first structured data and creates, based on the first hierarchical record, a snapshot query criterion. the system then searches, based on the snapshot query criterion, a second repository comprising a first snapshot of the first structured data. the system determines whether a second hierarchical record at least partially matches the first hierarchical record. in response to determining that the first hierarchical record at least partially matches the second hierarchical record, the system determines whether version information associated with the first snapshot of the first structured data is available and transmits information associated with the second hierarchical record.",VEEV,11789968
44,2023-10-17,h01l045/00,semiconductor structure and manufacturing method thereof,11,"the invention provides a semiconductor structure, the semiconductor structure includes a substrate, a resistance random access memory on the substrate, an upper electrode, a lower electrode and a resistance conversion layer between the upper electrode and the lower electrode, and a cap layer covering the outer side of the resistance random access memory, the cap layer has an upper half and a lower half, and the upper half and the lower half contain different stresses.",UMC,11793091
45,2023-10-17,h01l021/00,semiconductor device and method for fabricating the same,14,"a method for fabricating semiconductor device includes the steps of first providing a substrate having a fin-shaped structure thereon, forming a single diffusion break (sdb) structure in the substrate to divide the fin-shaped structure into a first portion and a second portion, and then forming more than one gate structures such as a first gate structure and a second gate structure on the sdb structure. preferably, each of the first gate structure and the second gate structure overlaps the fin-shaped structure and the sdb structure.",UMC,11791219
46,2023-10-17,h01l021/768,"semiconductor device including metal interconnections having sidewall spacers thereon, and method for fabricating the same",7,a method for fabricating semiconductor device includes the steps of: forming a first inter-metal dielectric (imd) layer on a substrate; forming a first metal interconnection in the first imd layer; removing part of the first imd layer; forming a spacer adjacent to the first metal interconnection; forming a second imd layer on the spacer and the first metal interconnection; and forming a second metal interconnection in the second imd layer and on the spacer and the first metal interconnection.,UMC,11791203
47,2023-10-17,h01l029/76,semiconductor device,9,"a semiconductor device includes a semiconductor substrate, a gate structure, a source region, a drain region, and a plurality of field plates. the gate structure is disposed on the semiconductor substrate. the source region and the drain region are disposed in the semiconductor substrate and located at two opposite sides of the gate structure in a first direction respectively. the field plates are disposed on the semiconductor substrate. each of the field plates is partly located above the gate structure and partly located between the gate structure and the drain region. the gate structure is electrically connected with at least one of the field plates, and the source region is electrically connected with at least one of the field plates.",UMC,11791386
48,2023-10-17,h01l029/40,semiconductor transistor structure with reduced contact resistance and fabrication method thereof,17,"a semiconductor transistor structure with reduced contact resistance includes a substrate, a channel layer on the substrate, a barrier layer on the channel layer, a two-dimensional electron gas (2deg) layer at an interface between the barrier layer and the channel layer, and a recess in a contact region. the recess penetrates through the barrier layer and extends into the channel layer. an ohmic contact metal is disposed in the recess. the ohmic contact metal is in direct contact with a vertical side surface of the barrier layer in the recess and in direct contact with an inclined side surface of the 2deg layer and the channel layer in the recess.",UMC,11791407
49,2023-10-17,h01l029/78,semiconductor device and method for fabricating the same,8,"a semiconductor device includes a substrate having a first region and a second region, a first fin-shaped structure extending along a first direction on the first region, a double diffusion break (ddb) structure extending along a second direction to divide the first fin-shaped structure into a first portion and a second portion, and a first gate structure and a second gate structure extending along the second direction on the ddb structure.",UMC,11791412
50,2023-10-17,h01l029/78,semiconductor device and fabrication method thereof,18,"a semiconductor device includes a fin protruding from a substrate and extending in a first direction, a gate structure extending on the fin in a second direction, and a seal layer located on the sidewall of the gate structure. a first peak carbon concentration is disposed in the seal layer. a first spacer layer is located on the seal layer. a second peak carbon concentration is disposed in the first spacer layer. a second spacer layer is located on the first spacer layer.",UMC,11791413
51,2023-10-17,f24f011/47,method and device for direct communication with thermostat that is not in communication with lan,12,"a system, method and apparatus for remote control of a thermostat by a network-based server, when the thermostat is not connected to a local or wide-area network. a network-based server calculates a modified temperature profile for a thermostat based on a utility's time-of-use pricing and/or weather forecasts. after the server has calculated the modified temperature profile, it is provided to a mobile device via a wide-area network, and the mobile device provides the modified temperature profile directly to the thermostat when the mobile device is within range of the thermostat.",UEIC,11788756
52,2023-10-17,g08c023/04,graphical user interface for programming universal remote control devices,13,"a universal remote control (urc) is programmed to control a particular type and make of electronic consumer device using a graphical user interface. a plurality of images is displayed on the user-interface. each image of the plurality of images is a digital photograph of an electronic consumer device or a remote control device usable to control the corresponding electronic consumer device. a user selects the digital photograph of the particular type and make of electronic consumer device or its corresponding remote control device. codeset information associated with the selected device is transmitted to the urc such that the urc is programmed to control the selected device. if the codeset information is a codeset identifier, then it is displayed on the user interface. the user enters the codeset identifier into the urc such that the urc is programmed to control the selected device.",UEIC,11790769
53,2023-10-17,g10l025/84,method and apparatus for providing noise suppression to an intelligent personal assistant,20,"a radio frequency connection between a far field voice detection device and a further device is used to determine a first angular direction from the far field voice detection device to the further device. the determined first angular direction is then used to emphasize, during a noise processing of a plurality of sounds received via use of a plurality of microphones of the far field voice detection device, a first one of the plurality of sounds relative to a remainder of the plurality of sounds.",UEIC,11790938
54,2023-10-17,h04n021/422,dynamic linking of codesets in universal remote control devices,18,"a codeset having function-code combinations is provisioned on a controlling device to control functions of an intended target device. input is provided to the controlling device which designates a function to be controlled on the intended target device. from a plurality of codes that are each associated with the designated function in a database stored in a memory of the controlling device a first code that is determined to be valid for use in controlling the designated function on the intended target device is selected. when the codeset is then provisioned on the controlling device, the provisioned codeset includes as a function-code combination thereof the designated function and the first code.",UEIC,11792466
55,2023-10-17,h04l009/40,systems and methods for associating services and/or devices with a voice assistant,17,"an app installed on a smart device is caused to retrieve from a cloud-server a one-time use code. the one-time use code is then provided to a controllable device and the controllable device is caused to provide the one-time use code back to the smart device. the app causes the one-time use code provided back to the smart device by the controllable device to be authenticated. in response to the one-time use code being authenticated, the controllable device is bound to the app whereupon the controllable device is controllable through use of the app.",UEIC,11792185
