,Ticker,Date,Description,Agency,Amount
13,ECL,2023-10-21,"DISHWASHING COMPOUND, MACHINE: CHLORANITED MACHINE WAREWASHING DETERGENT. SOLID FORM, LOW PHOROSPHOROUS FOR MODERATELY HARD WATER. COMPATIABLE WITH APEX AND FUSION WARE WASHING SYSTEME. SIX (6) EACH 6.75 POUND CAPSULES PER BOX.",General Services Administration,65.68
14,ECL,2023-10-21,"DETERGENT, LAUNDRY; SOLID SURGE PLUS; ECOLAB PN 6117905 OR EQUAL. ONE-SHOT LAUNDRY DETERGENT COMBINING ALKALINITY, WATER CONDITIONERS, A WETTING AGENT, FRAGRANCE AND FABRIC BRIGHTENER. FOR USE WITH HASPOLITALITY AND HEALTHCARE LINENS. COMPATIABLE WIT",General Services Administration,1153.7
15,ECL,2023-10-21,DISHWASHING COMPOUN,General Services Administration,798.5
16,ECL,2023-10-21,"GLASS CLEANER: ECOLAB INC. P/N 11227 OASIS 255SF. AMMONIATED FORMULA IS EFFECTIVE ON GREASE, SMOKE FILM AND DRIED HAIR SPRAY. VOC COMPLIANT. TWO (2) AND ONE-HALF (2.5) GALLON BAG IN A BOX.",General Services Administration,161.06
17,EW,2023-10-21,HEART VALVE,Department of Veterans Affairs,34000.0
18,LUMN,2023-10-21,WIRELINE SERVICES,Department of Homeland Security,88676.98
19,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
20,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,59900.0
21,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
22,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
23,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
24,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60198.0
25,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
26,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
27,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
28,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
29,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
30,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,205584.0
31,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
32,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60198.0
33,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
34,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
35,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
36,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
37,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62920.0
38,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
39,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
40,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
41,F,2023-10-21,"4X4 PICKUP,FULLSIZE,CREW CAB, POLICE USE",General Services Administration,849114.0
42,F,2023-10-21,"4X2 PICKUP, FULL SIZE, EXT CAB, SRW, MIN 9201 LBS GVWR",General Services Administration,45847.0
43,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60198.0
44,F,2023-10-21,"4X4 PICKUP,FULLSIZE,CREW CAB, POLICE USE",General Services Administration,422316.0
45,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,59088.0
46,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
47,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
48,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
49,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,155337.0
50,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62920.0
51,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
52,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60198.0
53,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
54,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
55,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62920.0
56,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
57,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 5500 GVWR",General Services Administration,37319.0
58,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,50915.0
59,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
60,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,258895.0
61,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,50915.0
62,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 5500 GVWR",General Services Administration,37319.0
63,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,121350.0
64,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
65,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
66,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
67,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
68,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
69,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,59088.0
70,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60198.0
71,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
72,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
73,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
74,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
75,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
76,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,106466.0
77,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 7000 GVWR",General Services Administration,53233.0
78,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
79,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62920.0
80,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
81,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60198.0
82,F,2023-10-21,"4X4 SUV, INTERMEDIATE, 4 DR, 5 PASS, MIN 5500 GVWR",General Services Administration,37319.0
83,F,2023-10-21,"4X2 VAN WAGON, FULL SIZE, 12 PASSENGER",General Services Administration,54787.0
84,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 9201 LBS GVWR",General Services Administration,51952.0
85,F,2023-10-21,"4X4 PICKUP,FULLSIZE,CREW CAB, POLICE USE",General Services Administration,6147044.0
86,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, MIN 6700 LBS GVWR",General Services Administration,42812.0
87,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
88,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,60016.0
89,F,2023-10-21,"4X4 PICKUP, FULL SIZE, CREW CAB, SRW, MIN 9900 LBS GVWR",General Services Administration,62738.0
90,FOLD,2023-10-21,PHARMACEUTICAL GALAFOLD,Department of Veterans Affairs,120749.46
91,HD,2023-10-21,PURCHASE OF CONSTRUCTION MATERIAL FOR THE GUAM STRONG PROGRAM IN SUPPORT OF DR-4715-GU,Department of Homeland Security,1608.9
92,HD,2023-10-21,PURCHASE OF CONSTRUCTION MATERIAL FOR THE GUAM STRONG PROGRAM IN SUPPORT OF DR-4715-GU,Department of Homeland Security,4375.98
93,HD,2023-10-21,PURCHASE OF CONSTRUCTION MATERIAL FOR THE GUAM STRONG PROGRAM IN SUPPORT OF DR-4715-GU,Department of Homeland Security,3174.18
94,MCK,2023-10-21,FY24 B1 MCKESSON MEDICATIONS CONTRACT ANNUAL  CR THRU 11/17/23,Department of Justice,50000.0
95,MCK,2023-10-21,FY24 B1 MCKESSON MEDICATION - CONTROLLED OCT 23,Department of Justice,500.0
96,MCK,2023-10-21,MCKESSON REGULAR MEDS FY24 OCTOBER-DECEMBER,Department of Justice,160000.0
97,MCK,2023-10-21,"BPA CALL, MCKESSON, P&S, CRHC, POP: 11/01/2023 - 01/31/2024",Department of Health and Human Services,36000.0
98,MCK,2023-10-21,MCKESSON MEDICATIONS 1ST QTR FY2024,Department of Justice,2570.43
99,MCK,2023-10-21,MCKESSON OPEN MARKET MEDICATION OCTOBER 2023 FISCAL YEAR 2024 RP#: 0054-24,Department of Justice,10000.0
100,MCK,2023-10-21,"CONTRACTOR TO PROVIDE MEDICATION ASSISTED TREATMENT (MAT) THERAPY MEDICATIONS FOR INMATE POPULATION HOUSED AT FCI, FORT DIX.",Department of Justice,9166.66
101,MCK,2023-10-21,MCKESSON REGULAR MEDICATION OCTOBER 2023 FISCAL YEAR 2024 RP#: 0055-24,Department of Justice,400000.0
102,MOS,2023-10-21,SIX-MONTH LEASE/TRIAL OF SMALL UAS COLLISION AVOIDANCE SYSTEM,National Aeronautics and Space Administration,30200.0
103,TDW,2023-10-21,---------- COMMENTS: POC IS STEPHEN SIEBERT  PLEASE DIRECT TO CO JOY YOUNG  APPROVAL FLOW EDIT: SALLY E. LOVETT ADDED BY ALYSON F. DAVIDOW ON WED AUG 23 11:52:12 EDT 2023   REASON ADDED: SELECTED APPROVER  IT REQUEST STATUS: FALSE,Department of State,110612.97
104,TDW,2023-10-21,---------- COMMENTS: POC IS STEPHEN SIEBERT  PLEASE DIRECT TO CO JOY YOUNG  APPROVAL FLOW EDIT: SALLY E. LOVETT ADDED BY ALYSON F. DAVIDOW ON TUE AUG 22 09:18:18 EDT 2023   REASON ADDED: SELECTED APPROVER  IT REQUEST STATUS: FALSE,Department of State,150000.0
105,TDW,2023-10-21,---------- COMMENTS: POC IS STEPHEN SIEBERT  PLEASE DIRECT TO CO JOY YOUNG  APPROVAL FLOW EDIT: SALLY E. LOVETT ADDED BY ALYSON F. DAVIDOW ON WED AUG 23 14:04:52 EDT 2023   REASON ADDED: SELECTED APPROVER  IT REQUEST STATUS: FALSE,Department of State,100000.0
106,SYK,2023-10-21,MANDIBLE IMPLANT,Department of Veterans Affairs,23791.05
107,SYK,2023-10-21,IGF:CT:IGF:NEPTUNE DOCKERS,Department of Veterans Affairs,113028.96
108,T,2023-10-21,4721DROKJ00015 ATT PLUM CASES,Department of Homeland Security,228.72
109,UPS,2023-10-21,PICK-UP AND DELIVERY OF SMALL PACKAGES (UNDER 150 LBS) IN SUPPORT OF DR-4339-PR FOLLOWING THE TERMS AND CONDITIONS DETAILED ON STRATEGIC CONTRACT NEXT GENERATION DELIVERY SERVICE HTC711-23-D-C025.,Department of Homeland Security,15000.0
110,UPS,2023-10-21,"INDIANA HEALTHCARE SYSTEM, RICHARD L. ROUDEBUSH UPS SERVICES",Department of Veterans Affairs,150000.0
111,UPS,2023-10-21,EXPRESS MAIL DELIVERY IN SUPPORT OF DR-1732-IA. IOWA SHIPPER #1Y007E,Department of Homeland Security,0.0
112,UPS,2023-10-21,"TO SHIP INMATE PROPERTY FOR FY2024, ESTIMATE BASED ON USAGE FROM FY 2023 CSM",Department of Justice,1500.0
113,KELYB,2023-10-21,"SOAR-D12 -- TASK ORDER # 339 SCIENTIFIC, OPERATIONS, AND ADMINISTRATIVE RESOURCES (SOAR) TO THE NIH",Department of Health and Human Services,6515810.19
114,KELYB,2023-10-21,"SOAR-D12 -- TASK ORDER 338 SCIENTIFIC, OPERATIONS, AND ADMINISTRATIVE RESOURCES (SOAR) TO THE NIH",Department of Health and Human Services,13273635.18
115,DNOW,2023-10-21,"KEY, SOCKET HEAD SCREW: IAW ASME B18.3-2003, SOCKET CAP, SHOULDER AND SET SCREWS, HEX AND SPLINE KEYS. KEY SZ: 1/8 INCH SERIES: SHORT MATERIAL: STEEL FEATURES: L-STYLE HANDLE (PARTIAL DESCRIPTION)",General Services Administration,0.13
116,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CE403A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HEWLETT PACKARD COLOR LASERJET ENTERPRISE 500 COLOR M551 PRINTERS AND ALL OTHER PRI",General Services Administration,3328.0
117,DNOW,2023-10-21,"CARTRIDGE, TONER: - SEEATTACHED DOCUMENT FOR DETAIL. PN:  HP OEM CF453A TAA - G SKU",General Services Administration,1576.64
118,DNOW,2023-10-21,"SOCKET, SOCKET WRENCH: IAW SOCIETY OF AUTOMOTIVE ENGINEERS AEROSPACE (SAE) STANDARD AS955, METRIC SOCKETS, WRENCHES, HAND TWELVE POINT, HIGH STRENGTH, THIN WALL DATED 2012. TYPE I: METRIC SOCKETS (12-POINT) CLASS 1: METRIC SOCKETS STYLE A: REGULAR LE",General Services Administration,3.01
119,DNOW,2023-10-21,LEXMARK HIGH YIELD CYAN RETURN PROGRAM T,General Services Administration,5194.08
120,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. LEXMARK P/N 74C0SMG CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH LEXMARK LASERPRINT CS720, CS725, CX725 SERIES AND ANY OTHER PRINTER USING LEXMARK P/N 74C0",General Services Administration,2433.76
121,DNOW,2023-10-21,"KEY, SOCKET HEAD SCREW: IAW ASME B18.3-2003, SOCKET CAP, SHOULDER AND SET SCREWS, HEX AND SPLINE KEYS. KEY SZ: 1/8 INCH SERIES: SHORT MATERIAL: STEEL FEATURES: L-STYLE HANDLE (PARTIAL DESCRIPTION)",General Services Administration,0.13
122,DNOW,2023-10-21,CF320X - HP 653 HIGH YIELD BLACK ORIGINA,General Services Administration,709.96
123,DNOW,2023-10-21,CF321A - HP 653 CYAN ORIGINAL LASERJET T,General Services Administration,956.12
124,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. LEXMARK INTL INC P/N E260X22G CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH LEXMARK E260, E360 AND E460 PRINTERS AND ALL OTHER PRINTERS THAT USE LEXMARK P/N",General Services Administration,58.14
125,DNOW,2023-10-21,"TONER,CX725,HY,RTN,TAA,BK",General Services Administration,313.11
126,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CE403A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HEWLETT PACKARD COLOR LASERJET ENTERPRISE 500 COLOR M551 PRINTERS AND ALL OTHER PRI",General Services Administration,266.24
127,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HP PN CE400AG (HP 507A) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP LASERJET ENTERPRISE 500 COLOR M551, PRINTERS AND ALL OTHERS THAT USE HP PN CE400AG",General Services Administration,1348.05
128,DNOW,2023-10-21,"CARTRIDGE,INK       PN: J3M70A YELLOW",General Services Administration,2684.73
129,DNOW,2023-10-21,"CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N: CF360A",General Services Administration,697.94
130,DNOW,2023-10-21,"CARTRIDGE,TONER     PN: W2120A BLACK",General Services Administration,1013.04
131,DNOW,2023-10-21,CF322A - HP 653 YELLOW ORIGINAL LASERJET,General Services Administration,956.12
132,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CE403A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HEWLETT PACKARD COLOR LASERJET ENTERPRISE 500 COLOR M551 PRINTERS AND ALL OTHER PRI",General Services Administration,1064.96
133,DNOW,2023-10-21,"BRUSH, WIRE, ROTARY, WHEEL: IAW CID A-A-2516A, DATED MAY 16, 2002. TYPE: I NARROW FACE WIDTH CLASS: 3 HIGH-CARBON TEMPERED STEEL BRUSH OUTSIDE DIAMETER: 6 INCHES WIRE DIAMETER: 0.014 INCHES ARBOR HOLE: 5/8 INCH WIRE TRIM LENGTH: 1-5/16 INCHES MIN. TO",General Services Administration,25.66
134,DNOW,2023-10-21,CANON (PGI-35) BLACK INK TANK,General Services Administration,216.9
135,DNOW,2023-10-21,"CARTRIDGE,TONER     PN: W2120A BLACK",General Services Administration,433.44
136,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CE505A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP LASERJET P2035/P2055 SERIES PRINTERS INCLUDING P2035, P2035D, P2055DN, P2055X, P",General Services Administration,122.04
137,DNOW,2023-10-21,CF323A - HP 653 MAGENTA ORIGINAL LASERJE,General Services Administration,956.12
138,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CE285A (HP 85A) CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP LASERJET PRINTERS INCLUDING LJP M1217NFW MFP, LJ P1102W, M1212 MFP PRIN",General Services Administration,82.9
139,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. LEXMARK INTL INC PN 76C00K0 CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH LEXMARK LASER SERIES PRINTERS INCLUDING CS921DE, CS923DE, CX923DTE, CX923DXE, CX92",General Services Administration,459.92
140,DNOW,2023-10-21,"BOTTLE, TONER WASTE: ITEM NAME BOTTLE, TONER WASTE SPECIAL FEATURE FOR USE WITH XEROX PHASER 6600, WORK CENTRE 6605 AND 6655 SERIES YIELD 30,000 PAGES (PARTIAL DESCRIPTION)",General Services Administration,165.72
141,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD P/N CF363A CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURES STANDARD YIELD CARTRIDGE FOR USE WITH HP COLOR LASERJET M533N, M553DN, M553DH, MFP M577DN, MFP M577F, MFP M577Z PRINTER S",General Services Administration,6979.4
142,DNOW,2023-10-21,"CARTRIDGE, TONER: ITEM NAME CARTRIDGE, TONER I.A.W. HEWLETT PACKARD PN CE401AG CARTRIDGE TYPE NEW (OEM GENUINE) SPECIAL FEATURE HIGH YIELD CARTRIDGE FOR USE WITH HP LASERJET ENTERPRISE 500 COLOR M551, PRINTERS OR ANY OTHER PRINTER THAT USE HP CE401AG",General Services Administration,1811.32
143,DNOW,2023-10-21,"TAPE, PRESSURE SENSITIVE ADHESIVE MATERIALPLASTIC OVERALL MATERIAL TRANSPARENCY OPAQUECOLOR BLACK OVERALL NOM.LENGTH 324.0'' NOM. WIDTH0.125'' CUT TYPE AND QUANTITY ANY ACCEPTABLE CORENOM. DIAMETER 1.000'' NOMOVERALL THICKNESS ANYACCEPTABLE ADHESIVE",General Services Administration,49.56
144,ACN,2023-10-21,"PROVIDE A BROAD RANGE OF SUPPORT AND ADVISORY EXPERTISE INCLUDING INTERFACING WITH LEADERSHIP AND SENIOR STAFF FROM THE AGENCY, AND PROVIDING TECHNICAL EXPERTISE FROM FIELDS INCLUDING BUT NOT LIMITED TO: TECHNOLOGY INNOVATION AND PROJECT MANAGEMENT;",Department of Health and Human Services,1565877.67
145,IBM,2023-10-21,THE PURPOSE OF THIS CALL ORDER IS FOR THE CONTRACTOR TO PROVIDE SSA WITH DOCUMENT MANAGEMENT SUPPORT SERVICES.,Social Security Administration,1287760.0
146,ABT,2023-10-20,HEARTMATE 3 LVAD CONTROLLER,Department of Veterans Affairs,48657.8
147,AEE,2023-10-20,"RIDER FEES FOR ELECTRICAL SERVICES FOR FCI PEKIN, ILLINOIS.  1ST QTR FY 24.  RP #24-0017",Department of Justice,40000.0
148,ALC,2023-10-20,NGENUITY CONSOLE REPAIR 67540036,Department of Veterans Affairs,17224.68
149,ANSS,2023-10-20,ANSYS MECHANICAL SOFTWARE RENEWAL,Department of Commerce,44578.33
150,ATO,2023-10-20,ATMOS ENERGY FY24,Department of Justice,2100.0
151,AVT,2023-10-20,INTEGRATED CIRCUITS FOR CLIO HSRL EDU,National Aeronautics and Space Administration,31593.75
152,BSX,2023-10-20,SURGICAL IMPLANTS,Department of Veterans Affairs,45378.6
153,CDW,2023-10-20,DESKTOP,Department of State,6486.91
154,CDW,2023-10-20,DESKTOP,Department of State,5136.0
155,CNP,2023-10-20,CENTERPOINT ENERGY 2024,Department of Justice,30000.0
156,DGX,2023-10-20,QUEST - INMATE LABS FY 24,Department of Justice,40000.0
